Player,Pr[M|M]_true,Pr[M|M]_sim,p-val
LaMarcus Aldridge,0.47,0.44,0.136
Rudy Gay,0.49,0.41,0
JJ Redick,0.44,0.45,0.71
Kyle Lowry,0.36,0.41,0.967
Paul Millsap,0.44,0.45,0.593
Pau Gasol,0.46,0.46,0.464
Joe Johnson,0.43,0.41,0.276
Zach Randolph,0.48,0.45,0.232
Tony Parker,0.5,0.44,0.011
Chris Paul,0.48,0.41,0.009
Anthony Davis,0.51,0.53,0.744
Bradley Beal,0.4,0.42,0.797
Dion Waiters,0.35,0.41,0.975
Damian Lillard,0.42,0.37,0.032
Terrence Ross,0.42,0.43,0.621
Andre Drummond,0.54,0.59,0.997
Harrison Barnes,0.51,0.49,0.224
Tyler Zeller,0.56,0.49,0.023
Nene,0.5,0.5,0.597
Draymond Green,0.43,0.45,0.799
Khris Middleton,0.48,0.43,0.053
Matt Barnes,0.42,0.44,0.737
Victor Oladipo,0.43,0.42,0.351
Al Horford,0.55,0.52,0.143
Jeff Green,0.45,0.41,0.143
Luc Mbah a Moute,0.39,0.36,0.217
Jason Smith,0.5,0.46,0.114
Wilson Chandler,0.38,0.41,0.819
Aaron Brooks,0.42,0.36,0.051
Arron Afflalo,0.43,0.43,0.525
Marc Gasol,0.45,0.47,0.789
LeBron James,0.46,0.48,0.698
Chris Bosh,0.44,0.43,0.375
Dwyane Wade,0.47,0.46,0.29
David West,0.46,0.44,0.234
Kyle Korver,0.47,0.46,0.343
CJ Miles,0.44,0.39,0.076
Luol Deng,0.44,0.45,0.598
Al Jefferson,0.44,0.49,0.987
Josh Smith,0.37,0.45,0.998
Nerlens Noel,0.44,0.51,0.978
Ben McLemore,0.5,0.39,0.001
Trevor Ariza,0.4,0.47,0.996
Kentavious Caldwell-Pope,0.35,0.37,0.782
Michael Carter-Williams,0.4,0.38,0.214
Robert Covington,0.44,0.38,0.037
Trey Burke,0.39,0.35,0.138
Deron Williams,0.43,0.41,0.276
Brandon Bass,0.5,0.5,0.514
Monta Ellis,0.44,0.42,0.195
Marcin Gortat,0.56,0.56,0.533
Russell Westbrook,0.42,0.37,0.056
Kevin Love,0.39,0.43,0.929
Eric Gordon,0.38,0.38,0.527
Brook Lopez,0.49,0.51,0.692
Roy Hibbert,0.4,0.39,0.437
Serge Ibaka,0.5,0.48,0.296
Nicolas Batum,0.39,0.42,0.869
Goran Dragic,0.46,0.49,0.872
Carmelo Anthony,0.42,0.43,0.665
Andrew Wiggins,0.39,0.43,0.912
Blake Griffin,0.52,0.47,0.014
James Harden,0.44,0.39,0.075
Tyreke Evans,0.48,0.45,0.175
Stephen Curry,0.46,0.47,0.561
DeMar DeRozan,0.37,0.43,0.965
Gerald Henderson,0.46,0.42,0.087
Jeff Teague,0.44,0.4,0.09
Danny Green,0.46,0.42,0.124
Thaddeus Young,0.46,0.46,0.488
Wesley Matthews,0.43,0.42,0.43
Tim Duncan,0.55,0.52,0.113
Evan Turner,0.42,0.42,0.579
Derrick Favors,0.51,0.5,0.349
DeMarcus Cousins,0.46,0.48,0.781
Greg Monroe,0.48,0.5,0.672
Gordon Hayward,0.4,0.37,0.12
Eric Bledsoe,0.46,0.41,0.068
Avery Bradley,0.45,0.41,0.085
Greivis Vasquez,0.38,0.41,0.827
Dirk Nowitzki,0.42,0.39,0.174
Paul Pierce,0.41,0.41,0.447
Kyrie Irving,0.42,0.38,0.073
Enes Kanter,0.51,0.46,0.022
Jonas Valanciunas,0.58,0.54,0.111
Brandon Knight,0.39,0.37,0.308
Klay Thompson,0.49,0.44,0.023
Markieff Morris,0.48,0.41,0.003
Marcus Morris,0.45,0.4,0.11
Kawhi Leonard,0.49,0.41,0.011
Nikola Vucevic,0.5,0.44,0.011
Tobias Harris,0.46,0.44,0.184
Donatas Motiejunas,0.47,0.47,0.438
Kenneth Faried,0.56,0.54,0.278
Reggie Jackson,0.49,0.4,0.003
Jimmy Butler,0.48,0.45,0.119
Chandler Parsons,0.48,0.45,0.179